"Shawn Mendes","In My Blood","85.0"
"Justin Bieber","Love Yourself","83.0"
"Justin Bieber","Sorry","80.0"
"Justin Bieber","What Do You Mean?","77.0"
"Shawn Mendes","Nervous","77.0"
"RAF Camora","Risiko","76.0"
"Drake","Elevate","76.0"
"Ozuna","Aura","75.0"
"5 Seconds of Summer","Valentine","75.0"
"Niall Horan","This Town","74.0"
"J Balvin","Peligrosa","74.0"
"Drake","Survival","73.0"
"Red Velvet","Bad Boy","73.0"
"Troye Sivan","Bloom","72.0"
"Bag Raiders","Shooting Stars","72.0"
"GOT7","Lullaby","72.0"
"Justin Bieber","Company","71.0"
"Daft Punk","Get Lucky","71.0"
"Ozuna","Escape","70.0"
"Shawn Mendes","Why","70.0"
